finding_id,finding_kind,timestamp,short_title,problem_statement,state,owner_issue,owner_issue_title,proof_requirement,source_artifact,source_evidence_ref,notes,evidence_links
C036,narrated,00:03:59.890,"And I should be able to change the status from here too,","And I should be able to change the status from here too,",open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C036,No current evidence packet has yet closed this row.,
C037,narrated,00:04:02.390,as well as just edit any part of it.,as well as just edit any part of it.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C037,Context-setting or already-carried-forward note pending explicit replay reuse.,
C038,narrated,00:04:11.290,I also should be able.,I also should be able.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C038,Context-setting or already-carried-forward note pending explicit replay reuse.,
C039,narrated,00:04:14.516,to edit a quote.,to edit a quote.,partial,TER-694,Quote edit / duplicate / convert proof,browser replay plus code trace,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C039,"Quote edit affordances exist, but seeded browser proof is still missing.",
C040,narrated,00:04:17.516,Obviously.,Obviously.,partial,TER-694,Quote edit / duplicate / convert proof,browser replay plus code trace,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C040,"Quote edit affordances exist, but seeded browser proof is still missing.",
C041,narrated,00:04:19.266,"And I can't do that, can't even interact with it, really.","And I can't do that, can't even interact with it, really.",partial,TER-694,Quote edit / duplicate / convert proof,browser replay plus code trace,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C041,"Quote edit affordances exist, but seeded browser proof is still missing.",
C042,narrated,00:04:23.516,"Also,","Also,",partial,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C042,"Quote interaction affordances exist, but seeded browser proof is still missing.",
C043,narrated,00:04:24.216,I don't know what this status means.,I don't know what this status means.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C043,Sales status language still needs cleanup.,
C044,narrated,00:04:27.416,I guess it means draft.,I guess it means draft.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C044,Sales status language still needs cleanup.,
C045,narrated,00:04:31.566,Also remove this workflow thing.,Also remove this workflow thing.,partial,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C045,Retired workflow chrome is reduced but not fully eliminated from live sales flows.,
C046,narrated,00:04:37.216,We're gonna get rid of the workflow.,We're gonna get rid of the workflow.,partial,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C046,Retired workflow chrome is reduced but not fully eliminated from live sales flows.,
C047,narrated,00:04:41.012,um feature.,um feature.,partial,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C047,Retired workflow chrome is reduced but not fully eliminated from live sales flows.,
C048,narrated,00:04:47.662,Ah and duplicate doesn't do anything other than just bump me over to ...,Ah and duplicate doesn't do anything other than just bump me over to a new sales order.,partial,TER-694,Quote edit / duplicate / convert proof,browser replay plus code trace,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C048,Duplicate affordance exists but is not yet browser-proven with seeded data.,
C049,narrated,00:05:13.780,"Sometimes it works, sometimes it doesn't. Did you figure that out sin...","Sometimes it works, sometimes it doesn't. Did you figure that out since we're here anyway through here",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C049,Context-setting or already-carried-forward note pending explicit replay reuse.,
C050,narrated,00:05:32.080,Got it. So this is,Got it. So this is,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C050,Transcript filler or acknowledgment without a separate product request.,
C051,narrated,00:05:37.980,but,but,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C051,Transcript filler or acknowledgment without a separate product request.,
C052,narrated,00:05:41.748,"This should be at the top, calculate credit limits. And","This should be at the top, calculate credit limits. And",open,TER-708,Accounting quick-action landing,browser before/after on staging,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C052,Accounting quick-action priority is still open in the finance lane.,
C053,narrated,00:05:47.748,"This doesn't work actually, so we need to get the pricing profile to ...","This doesn't work actually, so we need to get the pricing profile to work.",open,TER-696,Pricing profile propagation,pricing logic tests plus browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C053,Pricing profile propagation remains materially open.,
C054,narrated,00:06:00.798,I need to be able to,I need to be able to,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C054,Context-setting or already-carried-forward note pending explicit replay reuse.,
C055,narrated,00:06:15.732,Cos configuration here should be increase or decrease and it should b...,Cos configuration here should be increase or decrease and it should be on a category and subcategory level as well and same with the pricing configuration stuff here.,open,TER-696,Pricing profile propagation,pricing logic tests plus browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C055,Pricing configuration and operator explanation remain materially open.,
C056,narrated,00:06:35.382,This needs to be shown or oh this is messy there's all this blank spa...,This needs to be shown or oh this is messy there's all this blank space figure that out,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C056,Sales workspace density and blank-space cleanup remain open.,
C057,narrated,00:06:44.660,This is a messy too.,This is a messy too.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C057,Sales workspace density and blank-space cleanup remain open.,
C058,narrated,00:06:51.110,"Let's call it, you can do that from here.","Let's call it, you can do that from here.",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C058,Context-setting or already-carried-forward note pending explicit replay reuse.,
C059,narrated,00:06:53.110,Go back.,Go back.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C059,Transcript filler or acknowledgment without a separate product request.,
C060,narrated,00:07:03.510,"Process returns, this should actually be select the client first.","Process returns, this should actually be select the client first.",partial,TER-695,Returns from transaction context,role-aware browser replay plus logic proof,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C060,"Returns logic exists, but true transaction-context replay under the right role is still missing.",
C061,narrated,00:07:10.484,then it should populate any,then it should populate any,partial,TER-695,Returns from transaction context,role-aware browser replay plus logic proof,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C061,"Returns logic exists, but true transaction-context replay under the right role is still missing.",
C062,narrated,00:07:17.284,samples or no then it should populate all their transactions and,samples or no then it should populate all their transactions and,partial,TER-695,Returns from transaction context,role-aware browser replay plus logic proof,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C062,"Returns logic exists, but true transaction-context replay under the right role is still missing.",
C063,narrated,00:07:27.434,allow yeah to click through and,allow yeah to click through and,partial,TER-695,Returns from transaction context,role-aware browser replay plus logic proof,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C063,"Returns logic exists, but true transaction-context replay under the right role is still missing.",
C064,narrated,00:07:32.884,really should be able to just process the return,really should be able to just process the return,partial,TER-695,Returns from transaction context,role-aware browser replay plus logic proof,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C064,"Returns logic exists, but true transaction-context replay under the right role is still missing.",
C065,narrated,00:07:36.788,from the transaction view.,from the transaction view.,partial,TER-695,Returns from transaction context,role-aware browser replay plus logic proof,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C065,"Returns logic exists, but true transaction-context replay under the right role is still missing.",
C066,narrated,00:07:42.738,The order ID is gonna be really hard.,The order ID is gonna be really hard.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C066,Context-setting or already-carried-forward note pending explicit replay reuse.,
C067,narrated,00:07:46.688,"And also, this is wrong, right?","And also, this is wrong, right?",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C067,Context-setting or already-carried-forward note pending explicit replay reuse.,
C068,narrated,00:07:53.288,"Okay, yeah.","Okay, yeah.",rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C068,Transcript filler or acknowledgment without a separate product request.,
C069,narrated,00:07:55.738,Figure that out.,Figure that out.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C069,Context-setting or already-carried-forward note pending explicit replay reuse.,
C070,narrated,00:08:02.438,"This is totally blank, unfortunately.","This is totally blank, unfortunately.",partial,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C070,"Blank quote-panel failure is improved, but full live flow replay is still needed.",
C071,narrated,00:08:08.628,Also totally blank.,Also totally blank.,partial,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C071,"Blank quote-panel failure is improved, but full live flow replay is still needed.",
C072,narrated,00:08:10.478,Get to the new fields order.,Get to the new fields order.,rejected with evidence,TER-690,Coverage ledger and baseline carry-forward,report cross-check,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C072,Context-setting or already-carried-forward note pending explicit replay reuse.,
C073,narrated,00:08:23.928,"Once you select, once we select refer by,","Once you select, once we select refer by,",open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C073,Referral attribution vs compensation home still needs explicit closure mapping.,
C074,narrated,00:08:26.928,that should automatically.,that should automatically.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C074,Referral attribution vs compensation home still needs explicit closure mapping.,
C075,narrated,00:08:36.916,stick with the customer moving forward and then there,stick with the customer moving forward and then there,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C075,Referral attribution vs compensation home still needs explicit closure mapping.,
C076,narrated,00:08:50.416,should be some sort of little box that pops up that,should be some sort of little box that pops up that,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C076,Referral attribution vs compensation home still needs explicit closure mapping.,
C077,narrated,00:09:01.566,really yeah I think we don't need to worry about,really yeah I think we don't need to worry about,rejected with evidence,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C077,Comment narrows scope but does not define a separate defect.,
C078,narrated,00:09:06.260,the percentage right here but this does need to get managed somewhere...,the percentage right here but this does need to get managed somewhere like really the referred by thing should just be tracking all the sales or whatever um and then there,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C078,Referral settings ownership still needs explicit closure mapping.,
C079,narrated,00:09:21.560,should be a way to manage that somewhere else basically um to decide ...,should be a way to manage that somewhere else basically um to decide like how much percentage or just fixed dollar amount the referee is going to get and that's kind of separate,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C079,Referral settings ownership still needs explicit closure mapping.,
C080,narrated,00:09:35.924,process that maybe can be handled either probably in relationships.,process that maybe can be handled either probably in relationships.,open,TER-712,Lightweight relationships create/edit flow,browser create/edit replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C080,Referral settings ownership still needs explicit closure mapping.,
C081,narrated,00:09:47.024,This is shitty because I don't have to go like this.,This is shitty because I don't have to go like this.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C081,No current evidence packet has yet closed this row.,
C082,narrated,00:09:55.924,There's all this blank space here.,There's all this blank space here.,open,TER-698,Sales UI cleanup,browser replay,/Users/evan/spec-erp-docker/TERP/artifacts/video-feedback/2026-03-10-staging-feedback/04_timeline/comment_timeline.json,comment_timeline::C082,No current evidence packet has yet closed this row.,
