capabilityId,workbook,sheet,ownerSurface,criticality,proofStatus,coverageMode,persona,routeOrEntry,requiredArtifact,notes
SALE-ORD-011,Sales,Orders,Operations -> Shipping,P1,live-proven,sheet-native-direct,qa.fulfillment@terp.test,/sales?tab=orders&surface=sheet-native&orderId=:id,shipping-handoff-proof.png,March 15 2026 staging proof confirmed the live sheet-native Orders pilot hands the selected order into the consolidated shipping workspace at /inventory?tab=shipping with order identity preserved
SALE-ORD-012,Sales,Orders,Sales -> Orders,P1,partial,classic-adjacent,qa.salesmanager@terp.test,/sales?tab=quotes,conversion-proof.png,March 15 2026 staging proof confirmed the adjacent Quotes workbook still exposes the Convert to Sales Order dialog while the conversion mutation still needs a separate targeted pass
SALE-ORD-013,Sales,Orders,Sales -> Orders,P1,blocked,ownership-blocked,qa.salesmanager@terp.test,/sales?tab=orders,recurring-owner-note.md,API exists but verified current UI owner remains outside pilot build path
SALE-ORD-014,Sales,Orders,Accounting,P1,blocked,resolved-adjacent,qa.accounting@terp.test,/sales?tab=orders&orderId=:id,output-ownership-note.md,Invoice output execution belongs to Accounting and the inert Orders-surface affordance is not counted as preserved
SALE-ORD-015,Sales,Orders,Sales -> Orders,P1,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,draft-delete-proof.png,March 17 2026 local implementation adds draft deletion directly to the sheet-native Orders queue; staging proof is still required
SALE-ORD-016,Sales,Orders,Sales -> Orders,P1,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&quoteId=:id,seeded-entry-proof.png,March 17 2026 local implementation preserves quote, client, need, and sales-sheet seeded entry in the sheet-native Orders document surface; staging proof is still pending
SALE-ORD-017,Sales,Orders,Sales -> Orders,P0,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,autosave-nav-guard-proof.png,March 17 2026 local implementation keeps autosave, save-state, keyboard save/finalize, and unsaved-navigation protection inside the sheet-native Orders document surface; staging proof is still pending
SALE-ORD-018,Sales,Orders,Sales -> Orders,P1,code-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&clientId=:id,customer-context-proof.png,March 17 2026 local implementation keeps client-seeded referral, credit, and pricing context inside the sheet-native Orders document surface; staging proof is still pending
SALE-ORD-019,Sales,Orders,Sales -> Orders,P0,live-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,selection-range-parity-proof.png,"March 19 2026 staging proof on build-mmxzi3to confirmed queue drag-range, queue Cmd discontiguous selection, queue column and current-grid scope selection, and document-mode Shift-range behavior through the shared PowersheetGrid runtime."
SALE-ORD-020,Sales,Orders,Sales -> Orders,P0,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,multi-cell-edit-proof.png,March 17 2026 local implementation moved approved line-item editing onto the shared PowersheetGrid document runtime while preserving the existing Orders pricing calculations and document orchestration. Live staging proof is still required
SALE-ORD-021,Sales,Orders,Sales -> Orders,P0,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,clipboard-parity-proof.png,March 17 2026 local implementation wired clipboard hooks through the shared grid adapter and added document-grid paste validation plus blocked-field messaging. March 18 staging proof still reads browser clipboard state back as empty and leaves validPasteMethod as none, so staging proof is still required across queue support and document surfaces
SALE-ORD-022,Sales,Orders,Sales -> Orders,P1,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,fill-parity-proof.png,March 17 2026 local implementation enabled fill-handle behavior on the shared Orders document grid for approved editable fields. Safe live proof is still required
SALE-ORD-023,Sales,Orders,Sales -> Orders,P0,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,surface-consistency-proof.png,March 17 2026 runtime work moved queue support grids and the document grid onto the shared PowersheetGrid adapter but full cross-surface staging proof is still required before this row can close
SALE-ORD-024,Sales,Orders,Sales -> Orders,P0,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,selection-visibility-proof.png,March 17 2026 runtime work surfaced selection summary release gates anti-drift context and status-bar visibility. Full visible focus range save-state and blocked-feedback proof is still pending
SALE-ORD-025,Sales,Orders,Sales -> Orders,P0,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,field-state-visibility-proof.png,March 17 2026 local implementation added document-grid editable-versus-locked field-state classes and guidance. Cross-surface staging proof is still required
SALE-ORD-026,Sales,Orders,Sales -> Orders,P1,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,discoverability-proof.png,March 17 2026 runtime work surfaced the Orders sheet-classic toggle and early queue discoverability but queue support and document surfaces still need full discoverability proof
SALE-ORD-027,Sales,Orders,Sales -> Orders,P1,implemented-not-surfaced,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,explicit-workflow-actions-proof.png,Finalize accounting and shipping actions already exist in sheet-native Orders but this row stays open until their separation from spreadsheet editing is explicitly surfaced and proven
SALE-ORD-028,Sales,Orders,Sales -> Orders,P1,blocked,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&quoteId=:id,sheet-native-conversion-proof.png,Conversion parity is now an explicit Orders rollout gate. This row remains blocked until quote-to-order conversion ownership is explicit and the sheet-native Orders flow proves the mutation path or is reclassified with evidence
SALE-ORD-029,Sales,Orders,Sales -> Orders,P1,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,cut-clear-delete-proof.png,March 17 2026 local implementation added document-grid clear-style actions plus structured edit rejection for locked or invalid spreadsheet edits. Live proof is still required
SALE-ORD-030,Sales,Orders,Sales -> Orders,P0,live-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,edit-navigation-proof.png,"March 18 2026 staging build build-mmweo1fu proved Tab Shift+Tab Enter Shift+Enter and Escape on draft 618 through the shared document-grid runtime. Durable evidence: output/playwright/orders-runtime-g2/2026-03-18/orders-runtime-g2-report.json"
SALE-ORD-031,Sales,Orders,Sales -> Orders,P0,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,sort-filter-safe-targeting-proof.png,March 17 2026 local implementation hardened the document grid against silent retargeting by disabling sort/filter controls there and validating full paste rectangles before accepting data. Cross-surface staging proof is still required
SALE-ORD-032,Sales,Orders,Sales -> Orders,P1,live-proven,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native&ordersView=document&draftId=:id,row-operations-proof.png,"March 18 2026 staging build build-mmweo1fu proved duplicate quick-add and delete row operations on draft 618 through the shared document-grid runtime. Durable evidence: output/playwright/orders-runtime-g2/2026-03-18/orders-runtime-g2-report.json"
SALE-ORD-033,Sales,Orders,Sales -> Orders,P1,blocked,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,per-surface-discoverability-proof.png,Per-surface discoverability is now a release gate. This row remains blocked until queue support-grid and document-grid affordance matrices are surfaced and proven independently
SALE-ORD-034,Sales,Orders,Sales -> Orders,P0,blocked,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,workflow-ambiguity-proof.png,Workflow ambiguity is now a release gate. This row remains blocked until focused row focused cell selected range and workflow-action targeting stay visibly unambiguous before finalize or handoff actions
SALE-ORD-035,Sales,Orders,Sales -> Orders,P0,partial,sheet-native-direct,qa.salesmanager@terp.test,/sales?tab=orders&surface=sheet-native,failure-mode-proof-bundle.md,March 17 2026 local implementation added document-grid blocked-paste validation and structured invalid-edit rejection messaging through the shared runtime. Full staging trust proof is still required for mixed editable-locked paste blocked fill autosave undo and hidden-row protection
OPS-INV-001,Operations,Inventory,Operations -> Inventory,P0,live-proven,sheet-native-direct,qa.inventory@terp.test,/operations?tab=inventory&surface=sheet-native,inventory-browse-proof.png,March 15 2026 staging proof confirmed the live sheet-native Inventory pilot supports browse and in-grid filtering
OPS-INV-002,Operations,Inventory,Operations -> Inventory,P0,live-proven,sheet-native-direct,qa.inventory@terp.test,/operations?tab=inventory&surface=sheet-native&batchId=:id,inventory-inspector-proof.png,March 15 2026 staging proof confirmed live inspector and batchId deep-link behavior on the sheet-native Inventory pilot
OPS-INV-003,Operations,Inventory,Operations -> Inventory,P0,partial,classic-adjacent,qa.inventory@terp.test,/operations?tab=inventory,add-inventory-proof.png,March 15 2026 staging proof only confirmed the classic inventory surface still exposes the Open Receiving Queue intake handoff while the actual Add Inventory modal flow in this row remains unproven
OPS-INV-004,Operations,Inventory,Operations -> Inventory,P0,partial,sheet-native-direct,qa.inventory@terp.test,/operations?tab=inventory&surface=sheet-native&batchId=:id,status-edit-proof.png,March 15 2026 staging proof confirmed live status mutation on the sheet-native Inventory pilot and reverted the test change after capture while undo audit and conflict parity remain open
OPS-INV-005,Operations,Inventory,Operations -> Inventory,P0,partial,sheet-native-direct,qa.inventory@terp.test,/operations?tab=inventory&surface=sheet-native&batchId=:id,adjust-qty-proof.png,March 15 2026 staging proof confirmed live quantity adjustment on the sheet-native Inventory pilot and reverted the test change after capture while undo audit and race-condition coverage remain open
OPS-INV-006,Operations,Inventory,Operations -> Inventory,P1,partial,classic-adjacent,qa.inventory@terp.test,/operations?tab=inventory,bulk-action-proof.png,[live-failing] March 15 2026 staging proof confirmed live delete-eligibility gating and the confirmation flow but the actual inventory.bulk.delete mutation currently fails with a staging 500 so this row is not preserved yet
OPS-INV-007,Operations,Inventory,Operations -> Inventory,P1,code-proven,classic-adjacent,qa.inventory@terp.test,/operations?tab=inventory,movement-history-proof.png,Movement history and reversal context remain classic-adjacent
OPS-INV-008,Operations,Inventory,Accounting,P1,blocked,resolved-adjacent,qa.accounting@terp.test,/operations?tab=inventory,valuation-ownership-note.md,Official valuation remains Accounting-owned and intentionally outside first-sheet execution ownership
OPS-INV-009,Operations,Inventory,Locations / Storage,P1,blocked,resolved-adjacent,qa.inventory@terp.test,/operations?tab=inventory,transfer-ownership-note.md,Transfer execution is owned by Locations or Storage and remains an adjacent handoff rather than an ownership blocker
OPS-INV-010,Operations,Inventory,Locations / Storage,P1,blocked,resolved-adjacent,qa.inventory@terp.test,/settings?tab=locations,location-admin-note.md,Location administration is owned by Locations or Storage and remains outside the first inventory sheet by design
OPS-INV-011,Operations,Inventory,Operations -> Inventory,P2,partial,classic-adjacent,qa.inventory@terp.test,/operations?tab=inventory,views-gallery-export-proof.png,Saved views gallery and export remain classic-adjacent
OPS-INV-012,Operations,Inventory,Operations -> Inventory,P2,code-proven,classic-adjacent,qa.inventory@terp.test,/operations?tab=inventory,intake-media-proof.png,Bounded intake media support remains classic-adjacent
