Capability ID,Workbook,Repo Snapshot,Current Surface,Flow Matrix Rows / Procedures,Flow Guide Sections,Feature Modules / IDs,Preservation Entries,Golden Flows,Discrepancies / Open Questions,User Job,Capability,Criticality,Trigger,Success Criteria,Roles,Permissions / Access Rules,Current UI Surface,Validations / Guards,Data Entities,API / Service Dependencies,Outputs / Side Effects,Hidden Dependencies,Failure Mode if Lost,Target Sheet Pattern,Migration Classification,Sidecar / Exception Need,Parity Test Requirement,Evidence Required,Owner,Status,Build Readiness,Preservation Entry Status,Prerequisite Ledger
ACCT-PAY-001,Accounting -> Payments,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/accounting?tab=payments; /accounting/payments,"payments list search, sort, and filter state in Payments.tsx",Domain 1.2 Payments,DF-003; ACCT-008; ACCT-009; ACCT-010; DF-030; DF-031,STUB-PAY-001; DF-003; ACCT-008; ACCT-009; ACCT-010,GF-004,"The recording wants broader search and a buyer-first mental model, but registry truth still starts from the current list surface",Find and review payment activity quickly,"Preserve payment registry search, sort, and filter behavior",P0,Open payments or change search and filters,The payment list remains fast to search and accurate to review,Accounting Staff; Manager,accounting access; payment read,Payments.tsx registry,"Search and filters must remain coherent across payment number, type, and date",payments; clients; invoices,current payments list queries,Payments remain discoverable and reviewable,Registry state; payment metadata; selection context,Accounting loses a usable payment review surface,review-sheet,sheet-native,none,Payment-list regression,List proof; filter proof; search proof,Accounting pilot team,mapped,pack-only / blocked,mixed-stub,docs/specs/spreadsheet-native-ledgers/payments-capability-ledger.csv (planned)
ACCT-PAY-002,Accounting -> Payments,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/accounting/payments,accounting.payments.create; receiveClientPayment; previewPaymentBalance,Domain 1.2 Payments,DF-003; ACCT-008; ACCT-009; ACCT-010,STUB-PAY-001; DF-003; ACCT-008; ACCT-009; ACCT-010,GF-004,"The design direction should center buyer-debt handling first, but the current guided create flow is the actual functional anchor",Record a payment through the guided accounting flow,Preserve the guided payment-create flow and buyer-level receivables logic,P0,Start a new payment from the guided flow,Payment can be created without losing the broader buyer-debt context,Accounting Staff; Manager,accounting access; payment write,InvoiceToPaymentFlow guided entry,"Payment creation must validate amount, method, date, and balance logic before commit",payments; client balances; invoices; receipts,accounting.payments.create; accounting.receiveClientPayment; accounting.previewPaymentBalance,A new payment record is created with accounting-side balance context,Buyer debt model; balance preview; guided-step sequencing,Accounting cannot record money accurately against the buyer relationship,guided-transaction-sheet,sheet-native,none,Guided payment-create regression,Create proof; balance-preview proof; buyer-context proof,Accounting pilot team,mapped,pack-only / blocked,mixed-stub,docs/specs/spreadsheet-native-ledgers/payments-capability-ledger.csv (planned)
ACCT-PAY-003,Accounting -> Payments,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/accounting/payments,invoice allocation state in InvoiceToPaymentFlow; payment receipt path /api/receipts/payment/:id,Domain 1.1 Invoices (Accounts Receivable); Domain 1.2 Payments,DF-003; ACCT-008; ACCT-010,STUB-PAY-001; DF-003; ACCT-008; ACCT-010,GF-004,"The review wants invoice allocation to stay optional but clear; exact layout can change, but the capability cannot",Allocate a payment and generate downstream proof,"Preserve invoice allocation context, AR visibility, and payment receipt output",P0,Apply payment to invoices or review a posted payment,Operators can allocate a payment to invoices and still retrieve the downstream receipt artifact,Accounting Staff; Manager,accounting access; payment write; invoice read,InvoiceToPaymentFlow allocation step; payment receipt path,Allocation must stay accurate; receipt output must resolve for the right payment,payments; invoices; receipts; client balances,accounting.previewPaymentBalance; payment receipt route,Invoice allocations and receipts remain available,Receivable balance logic; receipt document path,Payments post without clear allocation or proof artifacts,guided-transaction-sheet,sheet-plus-sidecar,Receipt output may remain adjacent to the main sheet,Allocation and receipt regression,Allocation proof; receipt proof,Accounting pilot team,mapped,pack-only / blocked,mixed-stub,docs/specs/spreadsheet-native-ledgers/payments-capability-ledger.csv (planned)
ACCT-PAY-004,Accounting -> Payments,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/accounting?tab=payments; /accounting/payments,payments.recordPayment; payments.void; accounting.paySupplier,Domain 1.2 Payments,DF-003; ACCT-009; ACCT-010; DF-030; DF-031,STUB-PAY-001; DF-003; ACCT-009; ACCT-010,GF-004,The coexistence of guided and legacy payment paths is a real current-state fact that the redesign must not hide too early,Handle still-live legacy payment operations and adjacent supplier payments,Preserve legacy record-payment and void behavior while accounting-side supplier payment adjacency still exists,P1,Open legacy payment actions or supplier payment workflows,Still-live payment paths remain available until an explicit consolidation decision is made,Accounting Staff; Manager,accounting access; payment write,PaymentInspector; RecordPaymentDialog; accounting router,Void behavior and legacy record flows must not disappear silently,payments; supplier payments; invoices,payments.recordPayment; payments.void; accounting.paySupplier,Legacy and adjacent payment paths remain functional while consolidation is unresolved,Migration overlap between old and new accounting paths,Legacy-payment support disappears before the organization is ready,review-sheet,sheet-plus-sidecar,Legacy dialog or inspector may remain a sidecar during transition,Legacy-payment and void regression,Legacy proof; void proof; supplier-payment proof,Accounting pilot team,mapped,pack-only / blocked,mixed-stub,docs/specs/spreadsheet-native-ledgers/payments-capability-ledger.csv (planned)
ACCT-LED-001,Accounting -> Client Ledger,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/client-ledger; /clients/:clientId/ledger,clientLedger list and filter behavior in current work surface,Domain 20.1 Unified Ledger,DF-060,DF-060,GF-006,The recording approves the pattern directionally but warns against overbuilding it,Understand a client's balance quickly,"Preserve running-balance, filter, and pagination behavior on the client-ledger surface",P0,Open a ledger or change filters,Balance and transaction history remain trustworthy and easy to review,Accounting Staff; Manager; Sales with access,client-ledger access; accounting read,ClientLedgerWorkSurface main ledger table,Running-balance calculations and filters must remain accurate,ledger entries; payments; orders; adjustments,clientLedger router queries,Accurate balance and transaction visibility remain available,Running-balance calculation; pagination state,Users lose a trustworthy debt and transaction history surface,ledger-sheet,sheet-native,none,Ledger browse and filter regression,Ledger proof; filter proof; balance proof,Accounting pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/client-ledger-capability-ledger.csv (planned)
ACCT-LED-002,Accounting -> Client Ledger,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/client-ledger; /clients/:clientId/ledger,linked transaction detail and inspector behavior in current work surface,Domain 20.1 Unified Ledger,DF-060,DF-060,GF-006,"The mock should stay simple, but not at the cost of losing the supporting context that explains ledger rows",Inspect why the balance is what it is,Preserve ledger detail context and linked transaction inspection,P1,Select a ledger row or client,The supporting detail remains attached to the selected ledger entry without overcomplicating the page,Accounting Staff; Manager,client-ledger access; accounting read,ClientLedgerWorkSurface detail region,Selection integrity and linked-entry context must stay trustworthy,ledger entries; linked payments; linked orders,clientLedger router queries,Users can explain a balance from the ledger surface,Linked transaction context; entry selection,Ledger becomes a flat list with no trustworthy explanation of entries,ledger-sheet,sheet-plus-sidecar,Inspector can remain a secondary sidecar,Ledger-detail regression,Detail proof; linked-entry proof,Accounting pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/client-ledger-capability-ledger.csv (planned)
ACCT-LED-003,Accounting -> Client Ledger,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/client-ledger; /clients/:clientId/ledger,clientLedger.addAdjustment; clientLedger.exportLedger; getBalanceAsOfDate,Domain 20.1 Unified Ledger,DF-060,DF-060,GF-006,The recording's simplicity request still expects the useful accounting actions to stay available,Correct the ledger and export it when needed,"Preserve ledger adjustments, export, and as-of-date balance support",P0,Create an adjustment or export a ledger,Accounting can still correct ledger state and produce the exported ledger artifact,Accounting Staff; Manager,client-ledger access; accounting write for adjustments,ClientLedgerWorkSurface actions,Adjustments must be explicit and export must represent the right ledger slice,ledger entries; adjustments; exports,clientLedger.addAdjustment; clientLedger.exportLedger; clientLedger.getBalanceAsOfDate,Adjustment and export behavior remain available,As-of-date balance logic; export formatting,Accounting loses both correction and outbound reporting ability,ledger-sheet,sheet-plus-sidecar,Export can remain adjacent to the main review surface,Adjustment and export regression,Adjustment proof; export proof,Accounting pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/client-ledger-capability-ledger.csv (planned)
SALE-RET-001,Sales -> Returns,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/sales?tab=returns; /returns,returns.getAll; returns.getStats; returns.create,Domain 15.1 Returns; Domain 4.4 Returns & Conversions,DF-019; SALE-003,DF-019; SALE-003,GF-003; GF-004,"The current artboard is broad, but the actual returns queue and create flow are already deeper than the mock suggests",Find and open current return work,"Preserve returns queue, stats, and create-return behavior",P0,Open returns or create a return,"Returns remain visible, filterable, and creatable from the current workflow",Sales Rep; Manager; Returns Staff,returns access; sales access where linked,ReturnsPage queue and create flow,"Return creation must capture items, reasons, notes, and restock intent safely",returns; orders; clients; return items,returns.getAll; returns.getStats; returns.create,Returns can still be opened and initiated from the current product,Order linkage; reason codes; staged restock intent,Returns work disappears or becomes unreliable at the start of the lifecycle,exception-queue-sheet,sheet-native,none,Returns queue and create regression,Queue proof; create proof; stats proof,Sales and operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/returns-capability-ledger.csv (planned)
SALE-RET-002,Sales -> Returns,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/sales?tab=returns; /returns,returns.approve; returns.reject,Domain 15.1 Returns,DF-019; SALE-003,DF-019,GF-004,The current mock does not show enough of the approval lifecycle to be trusted on its own,Advance or reject a return safely,Preserve explicit return approval and rejection actions,P0,Review a created return,"Approval and rejection remain explicit, reviewable, and tied to the right return",Sales Manager; Returns Staff,returns write; approval authority,ReturnsPage action set,Approval and rejection must stay explicit and scoped to the correct return,returns; return approvals,returns.approve; returns.reject,Return state can advance or stop with an explicit audit trail,Approval authority; status transitions,Unsafe or ambiguous return decisions begin happening,exception-queue-sheet,sheet-native,none,Return approval and rejection regression,Approval proof; rejection proof,Sales and operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/returns-capability-ledger.csv (planned)
SALE-RET-003,Sales -> Returns,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/sales?tab=returns; /returns; /sales?tab=orders,returns.receive; returns.process; orders.processRestock; orders.processVendorReturn; orders.getVendorReturnOptions,Domain 15.1 Returns; Domain 4.4 Returns & Conversions,DF-019; SALE-003,DF-019,GF-004,"The current deck under-models processing depth, especially disposition choices after items come back",Receive returned goods and choose the right disposition path,Preserve receive and process lifecycle plus order-linked restock and vendor-return actions,P0,Receive a return or resolve its disposition,"Returned items can be received, restocked, or sent into the vendor-return path correctly",Sales Manager; Operations Staff; Returns Staff,returns write; order write where linked,ReturnsPage; OrdersWorkSurface return actions,Disposition logic must stay explicit and tied to the right order and inventory consequences,returns; orders; batches; vendor-return options,returns.receive; returns.process; orders.processRestock; orders.processVendorReturn; orders.getVendorReturnOptions,Inventory and return state stay coherent after receipt and disposition,Inventory consequences; vendor-return options; order linkage,Returned goods cannot be handled correctly after intake,exception-queue-sheet,sheet-plus-sidecar,Order-linked return controls may remain adjacent to the dedicated returns sheet,Return-process and disposition regression,Receive proof; process proof; vendor-return proof,Sales and operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/returns-capability-ledger.csv (planned)
SALE-RET-004,Sales -> Returns,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/returns; /sales?tab=orders,refunds.create; orders.markAsReturned; orders.getOrderReturns,Domain 15.2 Refunds; Domain 4.4 Returns & Conversions,DF-019; SALE-003,DF-019,GF-004,Refunds and staged order-return markers are easy to miss if the redesign only copies the broad Returns sheet,Close the loop financially and inside the order record,Preserve refund creation and staged order-return visibility on the order side,P0,Create a refund or inspect an order with return history,Refunds remain available and order-level return history is still visible,Sales Manager; Accounting; Returns Staff,refund access; order read,Refunds router; OrdersWorkSurface return history,Refund amounts and staged order-return markers must remain consistent,refunds; orders; return history,refunds.create; orders.markAsReturned; orders.getOrderReturns,Financial closure and order-side visibility remain intact,Accounting adjacency; order history,Returns may process physically but never close correctly in finance or order history,exception-queue-sheet,sheet-plus-sidecar,Refund creation may remain adjacent to returns or accounting surfaces,Refund and staged-return regression,Refund proof; order-history proof,Sales and accounting pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/returns-capability-ledger.csv (planned)
OPS-SMP-001,Operations -> Samples,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=samples; /samples,samples.getAll; createRequest; cancelRequest; operator-lane grouping and search,Domain 14.1 Sample Management,DF-015; SALE-004,SALE-004,GF-008,The current artboard makes samples look simpler than the real request-management surface,Create and review sample requests operationally,"Preserve sample request creation, list review, search, and cancellation behavior",P0,Open samples or create a request,"Sample requests remain visible, searchable, and manageable by current operators",Operations Staff; Sales; Manager,samples access; sample write,SampleManagement request and lane view,Request state and cancellation must remain explicit,samples; sample requests; products,samples.getAll; samples.createRequest; samples.cancelRequest,Sample requests remain manageable end-to-end,Lane grouping; request state; product lookup,Sample program work disappears or becomes unreliable,lane-sheet,sheet-native,none,Sample-request regression,Request proof; search proof; cancel proof,Operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/samples-capability-ledger.csv (planned)
OPS-SMP-002,Operations -> Samples,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=samples; /samples,updateLocation; ExpiringSamplesWidget; samples.getExpiring; location history and expiration support,Domain 14.1 Sample Management; Domain 14.3 Sample Analytics,DF-015; SALE-004,SALE-004,GF-008,The current pack does not show enough of location and expiration depth,Track where a sample is and whether it is aging out,"Preserve sample location updates, history, and expiring-sample visibility",P1,Move a sample or review expiring inventory,Location and expiration context remain visible enough to manage risk,Operations Staff; Manager,samples access; sample write,SampleManagement tracking lane; ExpiringSamplesWidget,Location changes and expiration dates must remain tied to the right sample,samples; location history; expiration dates,samples.updateLocation; samples.getExpiring,Operators can still track and act on expiring samples,Location history; expiration policy; widget visibility,Samples expire or move without usable operational visibility,lane-sheet,sheet-plus-sidecar,Expiring widget may remain a sidecar to the main lane view,Location and expiration regression,Location proof; expiration proof,Operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/samples-capability-ledger.csv (planned)
OPS-SMP-003,Operations -> Samples,0e2bb8ba5edfb9c9b1e1b836acb50a8c9348cfae,/inventory?tab=samples; /samples,requestReturn; approveReturn; completeReturn,Domain 14.2 Sample Allocation & Returns,DF-015; SALE-004,SALE-004,GF-008,The current artboard under-signals the full return lifecycle for samples,Bring a sample back through the controlled return path,Preserve the sample return lifecycle from request through completion,P1,Request or process a sample return,Sample returns remain explicit and traceable through the full lifecycle,Operations Staff; Manager,samples access; sample write,SampleManagement return actions,Return steps must stay explicit and scoped to the correct sample,samples; return requests,samples.requestReturn; samples.approveReturn; samples.completeReturn,Sample-return lifecycle remains usable,Lifecycle state; operator authority,Sample-return workflows disappear or become ambiguous,lane-sheet,sheet-native,none,Sample-return regression,Return proof; lifecycle proof,Operations pilot team,mapped,pack-only / blocked,unverified,docs/specs/spreadsheet-native-ledgers/samples-capability-ledger.csv (planned)
