Type,ID,Name,OwnerModule,IntentSource,Status,ImplementationSource,Notes
Screen,SCR-009,PurchaseOrders,Purchasing,GF-002,Divergent,client/src/pages/PurchaseOrders.tsx,No receiving UI
API,API-001,inventory.createIntake,Inventory,GF-001,Intended&Implemented,server/routers/inventory.ts:createIntake,
API,API-002,orders.create,Sales,GF-003,Intended&Implemented,server/routers/orders.ts:create,
API,API-003,orders.confirm,Sales,GF-003,Intended&Implemented,server/routers/orders.ts:confirm,
API,API-004,invoices.generateFromOrder,Accounting,GF-004,Intended&Implemented,server/routers/invoices.ts,
API,API-005,payments.recordPayment,Accounting,GF-004,Intended&Implemented,server/routers/payments.ts:recordPayment,
API,API-006,pickPack.packItems,Fulfillment,GF-005,Intended&Implemented,server/routers/pickPack.ts,
API,API-007,purchaseOrders.receive,Purchasing,GF-002,Intended&Implemented,server/routers/purchaseOrders.ts,API exists
API,API-008,samples.fulfillRequest,Sales,GF-008,Intended&Implemented,server/routers/samples.ts,API exists
Model,MDL-001,clients,Core,CANONICAL_DICTIONARY.md,Intended&Implemented,drizzle/schema.ts:clients,
Model,MDL-002,orders,Sales,GF-003,Intended&Implemented,drizzle/schema.ts:orders,
Model,MDL-003,invoices,Accounting,GF-004,Intended&Implemented,drizzle/schema.ts:invoices,
Model,MDL-004,batches,Inventory,GF-007,Intended&Implemented,drizzle/schema.ts:batches,
Model,MDL-005,payments,Accounting,GF-004,Intended&Implemented,drizzle/schema.ts:payments,
Model,MDL-006,purchase_orders,Purchasing,GF-002,Intended&Implemented,drizzle/schema.ts:purchaseOrders,
Model,MDL-007,sample_requests,Sales,GF-008,Intended&Implemented,drizzle/schema.ts:sampleRequests,
Permission,RBAC-001,super_admin full access,Auth,QA_PLAYBOOK.md,Intended&Implemented,server/_core/permissionService.ts,
Permission,RBAC-002,sales_manager orders,Auth,QA_PLAYBOOK.md,Intended&Implemented,server/_core/permissionService.ts,
Permission,RBAC-003,inventory_manager batches,Auth,QA_PLAYBOOK.md,Intended&Implemented,server/_core/permissionService.ts,
Permission,RBAC-004,accounting_manager AR/AP,Auth,QA_PLAYBOOK.md,Intended&Implemented,server/_core/permissionService.ts,
Permission,RBAC-005,fulfillment pickpack,Auth,QA_PLAYBOOK.md,Intended&Implemented,server/_core/permissionService.ts,
Permission,RBAC-006,auditor readonly,Auth,QA_PLAYBOOK.md,Intended&Implemented,server/_core/permissionService.ts,
